index,title,artist,duration,duration_sec
174,Сколько стоят деньги?,Хаски,02:07,127
175,Гектор,ICEGERGERT,01:22,82
176,Casino,ICEGERGERT,01:57,117
177,Зая Hardstyle,Cenker & Edgy,01:35,95
178,Страгл,Whole Lotta Swag,02:07,127
179,Роман 2.0,Винтаж & hosy,02:21,141
180,Закричу на весь мир,Танисия,05:20,320
181,Deadboy98,REDZED,02:11,131
182,Get Up,Stanton Warriors & Ruby Goe & Hollywood Holt,04:23,263
183,4:45,K.E.FEAR,03:54,234
184,Это пройдет быстро,пороксердца,02:53,173
185,Сомнения,Roxxy,02:14,134
186,Маяк,NEMIGA,04:31,271
187,Белым,NEMIGA,03:44,224
188,GENDER,SQWOZ BAB,02:22,142
189,What happend again?,Hugo Loud,01:53,113
190,Москва,DJ SMASH & Винтаж,03:45,225
191,Angels (Love Is The Answer),Morandi,03:45,225
192,Правда,Whole Lotta Swag,02:22,142
193,Разница,Whole Lotta Swag,02:20,140
194,Прокля Табыла,Пошлая Молли,02:22,142
195,Адская колыбельная,Пошлая Молли,02:58,178
196,Безумие,ЛСП & Oxxxymiron,03:46,226
197,Синее,ЛСП,03:29,209
198,Lost Angeles,FRIENDLY THUG 52 NGG,01:54,114
199,Буревестник,Miyagi & Andy Panda,04:07,247
200,Если,Green Apelsin,02:56,176
201,Солнце,Апология,02:00,120
202,Чудотворец,Lodoss,02:47,167
203,Faint,Linkin Park,02:42,162
204,Побег,Луперкаль,03:31,211
205,Зима в сердце,Моя Мишель,04:05,245
206,Ева,Винтаж,04:09,249
207,Молодость моя,OM.,02:57,177
208,лазить по стенам,zhanulka,02:33,153
209,Девочка в классе,Джизус,04:14,254
210,Громко,Хаски & Кишлак,03:06,186
211,HERE,Martin's Muzic MVP & Yarushaa,01:47,107
212,Sunday Scaries,UMBASA & killanoia,01:47,107
213,Биг Сити Лайф,Whole Lotta Swag,02:08,128
214,CRUSH VIBE,Lestmor & ROMANTICA,01:58,118
215,ПЛОТНО,f0lk,02:00,120
216,Кошмары,Руслан Утюг,02:57,177
217,Я иду по городу,WASSSUP,02:46,166
218,THIS IS REAL,f0lk,02:30,150
219,мечта,Lizer & Highself,02:50,170
220,рискую,вэйст! & w3bcry,01:46,106
221,too much,bullish,02:38,158
222,strangers again,eenspire,01:33,93
223,РУССКАЯ ДУША,НАВЕРНОЕ ПОЭТ & EVEN CUTE & ЯКОРЪ & derzko69,02:44,164
224,если бы,daur,02:42,162
225,ХОЧЕТ НАС,НАВЕРНОЕ ПОЭТ & ЯКОРЪ & EVEN CUTE,02:33,153
226,"Буря, метель и мгла",Канги & mzlff & STED.D,02:15,135
227,Люцифер,Хаски,02:57,177
228,Наступит ночь,Бьянка & FADE031,01:42,102
229,РЕВНУЮ,Aarne & BUSHIDO ZHO & Liza Evans,02:41,161
230,Молодой русский,Хаски,02:21,141
231,Rock Star,Novo & Mnogoznaal,05:10,310
232,Hurra die Welt geht unter,K.I.Z & Henning May,04:45,285
233,Наивно,Рубеж Веков,02:37,157
234,Цепи,Скриптонит & 104,03:27,207
235,Спокойной ночи,ALBLAK 52 & Скриптонит & FRIENDLY THUG 52 NGG,03:28,208
236,+7(952)812,ALBLAK 52,01:47,107
237,Космос,Скриптонит & Charusha,03:48,228
238,i wanna feel u.,Crier,02:01,121
239,Селфхарм,Монеточка,03:08,188
240,300 (prod.by DJ AUX),SQWOZ BAB,02:05,125
241,Zachem,6YNTHMANE & 5sta Family & BAbyBoi,01:53,113
242,BRITNEY,OBLADAET,02:53,173
243,НА ДОРОГАХ,ГЛАКИ & EVALLEKS,01:58,118
244,Вместе мы,5sta Family,03:36,216
245,Шоколадка,Минаева,02:49,169
246,Ритм сердца,Антоха МС,04:45,285
247,запретить,SLAVA MARLOW,02:54,174
248,Summer Vibe,42NA,01:46,106
249,В РОССИИ ЖИТЬ ПИЗДАТО,EVEN CUTE & НАВЕРНОЕ ПОЭТ & ЯКОРЪ,02:01,121
250,ЗАХОТЕЛ,НАВЕРНОЕ ПОЭТ & ЯКОРЪ & EVEN CUTE,01:40,100
251,Потеряла голову,Xdree,01:40,100
252,я не могу тебя найти,SLAVA MARLOW,02:57,177
253,Supersonic,Big Baby Tape & Aarne,02:44,164
254,Falling Stars,DVRST & polnalyubvi,02:34,154
255,Воскресение,ЛСП,03:01,181
256,ЗАБЕРИ МОЮ МОЛОДОСТЬ,GSPD,03:03,183
257,Yugoslavskiy Groove,Soft Blade,04:04,244
258,Made In Russia,RAM & KOMMO,02:39,159
259,CHIPI CHAPA FUNK,Neverlet,02:29,149
260,Йупи Йо,Scally Milano & 163ONMYNECK & MAYOT,02:20,140
261,SILENCER,H8.HOOD,02:02,122
262,Дорога,МакSим,03:10,190
263,королева ночей,guntor,01:57,117
264,Чёрные глаза,Айдамир Мугу,05:44,344
265,Sua amiga deu,MC Levin,02:58,178
266,Sua amiga vou sarrar,MC Levin,02:30,150
267,покой,лампабикт,04:22,262
268,Завтра,OMNIXX,03:00,180
269,далеко (большой Бушизм) [prod. by wex & heysubr],BUSHIDO ZHO,01:47,107
270,Голгофа,Miyagi & Эндшпиль,03:27,207
271,19,ssshhhiiittt!,05:01,301
272,однополярности,mzlff & STED.D,02:50,170
273,FREETATO,apillsinjuice,01:50,110
274,2003,Liaze & Equal,02:16,136
275,Мадафака,Jakone & A.V.G,01:40,100
276,M11,Big Baby Tape & ALBLAK 52,02:37,157
277,GoodDayFlopTray,DJ Stonik1917,03:06,186
278,Тебя нет,ssshhhiiittt!,04:23,263
279,"ДА, Я РУССКИЙ",НАВЕРНОЕ ПОЭТ & ЯКОРЪ & EVEN CUTE & Ernest Merkel,01:55,115
280,Ты не верь слезам (LAB с Антоном Беляевым),Gruppa Skryptonite & Therr Maitz,04:07,247
281,Impact (Prod. by Osmos) (Prod. by Osmos),RAM,02:41,161
282,Мой папа из ФСБ,Fargo,03:09,189
283,Звёзды,Cafard,02:45,165
284,Паранойя,Kambulat,01:56,116
285,Ветер перемен,SLEM,01:30,90
286,na Circus,FRIENDLY THUG 52 NGG & Скриптонит,03:10,190
287,Черный ворон,SHTIL,03:27,207
288,Их там нет,Каспер,02:53,173
289,Рассвет,Каспер,02:40,160
290,Крутится,ODURACHEN,02:04,124
291,Хэппи энд,TEKSIDR,02:55,175
292,Хроника-Беслан,Гио Пика,01:50,110
293,Адонай,Mnogoznaal,03:51,231
294,Холод,shadowraze,02:04,124
295,Murder Rate,kizaru,02:57,177
296,Грею счастье,Ёлка,03:38,218
297,Нормально,Привет,02:21,141
298,Выбирать чудо,NYUSHA,04:26,266
299,Выше,NYUSHA,03:58,238
300,План «Перехват»,Mnogoznaal & ЯАVЬ,01:33,93
301,От Марса до Сатурна,Вишневский,04:09,249
302,25,Markul,02:54,174
303,Больно,NYUSHA,03:36,216
304,Пьяное солнце,ALEKSEEV,03:41,221
305,Маленький самолёт,INSTASAMKA,02:07,127
306,The Alchemist,Haarper,01:57,117
307,WAGNER,BRATEEVSKY & Skyth27,03:03,183
308,Добрый воин,РОДНАЯ РЕЧЬ,03:23,203
309,Оркестр Вагнер,SHTIL,02:12,132
310,Русская весна,С.В.О.Й,03:10,190
311,Маршруты,Dasha Mist,02:06,126
312,Пальмира,Луна,04:13,253
313,Рейс 127,Обнимая небо,03:02,182
314,Люди изо льда,Привет,03:46,226
315,Катюша,Чаруша и Женя Мильковский,04:48,288
316,Тёмно-оранжевый закат,Папин Олимпос,02:29,149
317,Пыяла,АИГЕЛ,03:30,210
318,AUTOMOTIVO BIBI FOGOSA,mp music,02:30,150
319,Холостяк,ЛСП & FEDUK & ЕГОР КРИД,03:02,182
320,Перезимую,Наша Таня & Три дня дождя,02:30,150
321,Молодость,NEMIGA,03:43,223
322,"там, где хорошо",ANIKV,03:35,215
323,не успел сказать,guntor,02:30,150
324,Не герой,7Б,04:19,259
325,снежинка,mzlff,03:06,186
326,боль,лампабикт,01:51,111
327,зло,лампабикт,02:43,163
328,Жмурки,H8.HOOD,02:09,129
329,Atomic Heart,ENSKA,02:27,147
330,Не любил,OM.,02:07,127
331,Перестань,OM. & MARTYNOVA,03:03,183
332,Джефри,Mnogoznaal,02:31,151
333,Сансара,Баста & Диана Арбенина & Александр Ф. Скляр & Сергей Бобунец & SunSay & Скриптонит,06:03,363
334,Этажи,Дорогой Дневник,03:20,200
335,Если в сердце живёт любовь,Юлия Савичева,02:55,175
336,Prekrasnoe Dalyoko,Particles & кошечка & Atomic Heart,02:01,121
337,Спутник 420,OM.,03:45,225
338,Дима Дома,OM.,02:11,131
339,Исключение,Макс Корж,05:01,301
340,Аллилуйя,Дарья Виардо,03:34,214
341,Беспечный рыцарь тьмы,Пошлая Молли,03:54,234
342,Occupation,oskalizator.,03:45,225
343,Дырявая голова,Рубеж Веков,03:43,223
344,Небо поможет нам,Макс Корж,03:29,209
345,ЗА ДЕНЬГИ ДА,INSTASAMKA,01:59,119
346,runaway.,Crier,02:00,120
347,ZEMLYA,Маша и Медведи & EDWXRDX,02:25,145
348,BURN IT DOWN,Linkin Park,03:50,230
349,Me Gustas Tú,Manu Chao,04:00,240
350,THE ONE WHO LOVE YOU,HVZVRD & DIXSDAIN,01:30,90
351,Твои глаза,polnalyubvi,02:48,168
352,Нуар,Moriko,02:40,160
353,Плохая девочка,Винтаж & ТРАВМА & SKIDRI & DVRKLXGHT,02:15,135
354,Paramedic,emosplash,03:00,180
355,Открой глаза,OM.,03:23,203
356,WAKARIMASEN,КУОК,02:09,129
357,Астронавт,ATL,02:57,177
358,6 am,totpoc,02:19,139
359,Instant Karma,11july,03:14,194
360,Нет Проблем,SLAVA MARLOW & MK,01:34,94
361,SHAKE,INSTASAMKA,02:11,131
362,Мимо подъездов,Максим Свобода,03:21,201
363,Отключаю телефон,INSTASAMKA,02:33,153
364,Акид,PHARAOH & Mnogoznaal,02:41,161
365,ДЖИВАНШИ,STUFF,02:17,137
366,Типичная вечеринка с бассейном,Пошлая Молли,04:34,274
367,Колёса крутятся,G-Voo & NZCH & ния,03:06,186
368,Быть дауном,Loqiemean,03:37,217
369,архив,вышел покурить,02:43,163
370,Поэзия фольги,УННВ,02:51,171
371,Пьяные города,Кишлак,02:06,126
372,Пугающе красивый сон,Mnogoznaal,02:05,125
373,"Бейся сердце, время биться",Сироткин,03:34,214
374,vodila,BUSHIDO ZHO,01:51,111
375,Муза,УННВ,02:02,122
376,Дуга,Mnogoznaal,02:28,148
377,Темнота,BATO,01:38,98
378,Bon Voyage,Big Baby Tape & kizaru,02:15,135
379,Мэджик пипл,ATL,03:34,214
380,Винрар,OG Buda & 163ONMYNECK,02:27,147
381,ПОКОЙ,НИКИ КО МОРИ,02:42,162
382,Фонтанчик с дельфином,Гио Пика,02:00,120
383,Выше домов,Сироткин,05:04,304
384,"Убиты, но не вами",УННВ,02:54,174
385,Zodiac,Mujuice,03:32,212
386,Ад-Колыма,Гио Пика,02:43,163
387,Курить,Jakone & A.V.G & Итачи,02:08,128
388,Тесно,Aarne & BUSHIDO ZHO & ANIKV,02:13,133
389,Почему,mightymason,01:32,92
390,Где прошла ты,Кравц & Гио Пика,02:48,168
391,Tongue Tied,Mac Rockelle,01:44,104
392,Дай мне посмотреть,Heronwater & BUSHIDO ZHO,02:06,126
393,С любовью,CAPTOWN,02:06,126
394,Я тупой,BUSTER & Lixxx & Frame Tamer & Rostik,02:09,129
395,False Alarm,The Weeknd,03:40,220
396,Беспредел,вышел покурить,02:11,131
397,Дом Периньон,Пошлая Молли & Элджей,02:55,175
398,Запятые,FrozenGangBeatz & SODA LUV & RVMZES,02:52,172
399,SLEEPKNOT,OBLADAET,02:03,123
400,BLIND ZONE,OBLADAET,02:05,125
401,FOR MULA,OBLADAET,02:46,166
402,Тмстс,Пошлая Молли,02:40,160
403,Супермаркет,Пошлая Молли,03:34,214
404,Любимая песня твоей сестры,Пошлая Молли,03:08,188
405,Мишка,Пошлая Молли & KATERINA,02:39,159
406,New day,Sagath & TRU47,02:00,120
407,эдельвейс,pyrokinesis,03:11,191
408,Все хотят меня поцеловать,Пошлая Молли,02:24,144
409,MiMiMaMaMu,Exile & STOPBAN & DILBLIN,03:05,185
410,Z-Pam,Mnogoznaal,02:50,170
411,Порнхаб Крисмас клаб,Пошлая Молли,04:07,247
412,Пацан,LeanJe,03:34,214
413,Передаю привет,METAN,02:08,128
414,В ахуе,БРЕДИШЬ,01:55,115
415,Провинциальная сказка,LeanJe,03:15,195
416,Дом,VTORNIK,03:00,180
417,УЛИЦЫ,BATO & Boulevard Depo,02:08,128
418,Битум,OMNIXX,03:20,200
419,Унанай,SunThugga,01:47,107
420,СТРИТ КРЕДО,КУОК,03:27,207
421,Священный мошпит,Drummatix,02:42,162
422,Скажи мне кто ты,xxxmanera,02:12,132
423,КАЖДЫЙ ДЕНЬ,Pepel Nahudi,01:52,112
424,LAGG OUT,SALUKI & ATL,04:22,262
425,Sweet Avalon,Amphibious Zoo Music,03:27,207
426,Komarovo (Slowed),DVRST & Игорь Скляр & Atomic Heart,02:44,164
427,О любви,Хаски,02:42,162
428,Karma,Lastfragment,02:04,124
429,Yellow,Coldplay,04:27,267
430,Диссонанс,ATL,03:40,220
431,08.12.1980,Свидание,03:14,194
432,Euphor,Novo Amor & Lowswimmer,04:03,243
433,Ничего нового,Atlantida Project & Noize MC,04:31,271
434,С самых высоких скал,Сироткин,03:33,213
435,UNITED,UNITED & Pharmacist & GOSELINE & KURT92 & TRU47 & Sagath,02:09,129
436,Темнота,семьсот семь,01:46,106
437,Вечно Молодой,Lastfragment,02:58,178
438,ZOV,Lastfragment,02:02,122
439,Вечная весна,ЛСП,02:48,168
440,Autopoetry,Boulevard Depo & SP4K,02:26,146
441,Пот,RAM,03:02,182
442,Навсегда,Сироткин,03:20,200
443,Человек-занавеска,лампабикт,02:46,166
444,Никогда,НЕЗАБУДКИ & Элли на маковом поле,03:59,239
445,BROTHA BROTHA,SALUKI & Boulevard Depo,03:08,188
446,Ограбление,SunThugga,02:28,148
447,Затмение,RAM & LeanJe,03:24,204
448,Toxin,SID & RAM,02:34,154
449,Заря,TMNV,03:16,196
450,Кроме твоего лица,Три дня дождя & INSPACE,03:08,188
451,Зверь,Sagath & Lookaway,02:03,123
452,Мысли,семьсот семь,01:46,106
453,Opening Titles,Hans Zimmer & Lorne Balfe,03:25,205
454,Mr. Rattlebone,Matt Maeson,04:15,255
455,Вылетают зубы,Fatal-M & Sagath,02:55,175
456,Devils in the house,Sagath,02:32,152
457,Чудовище тоже может любить,Sagath,05:26,326
458,Step on the gas,Sagath,02:18,138
459,Ангелбес,Sagath & Elias Fogg,02:22,142
460,Груб и жесток,Sagath,02:32,152
461,40 DAYS,GREEN ORXNGE & Sagath,01:55,115
462,Мёртвая принцесса,Sagath,04:36,276
463,Ride Or Die,Big Baby Tape & kizaru,03:04,184
464,FAX,Big Baby Tape,02:03,123
465,Mama Makusa,Big Baby Tape & kizaru,02:53,173
466,ЛУЧШЕ НИ С КЕМ,STED.D,02:32,152
467,Нотные станы,Свидание,03:20,200
468,Eyes Half Closed,Crywolf,06:46,406
469,Not Today,twenty one pilots,03:58,238
470,Angry toy$,Boulevard Depo,02:07,127
471,Frame of Mind,Tristam & Braken,04:34,274
472,Rise Up,TheFatRat,02:50,170
473,Ни много ни мало,Boulevard Depo,02:23,143
474,Дорога туда / Везде бардак,лампабикт,04:49,289
475,Вакуум,лампабикт,05:27,327
476,Быль,лампабикт & Haydron,02:51,171
477,плафон,лампабикт,03:15,195
478,The Search,NF,04:08,248
479,Hold On,Arman Cekin,03:07,187
480,Crossfire,Stephen,04:31,271
481,Dead to Me,Lox Chatterbox,03:41,221
482,WHY WE LOSE,Slowyver,03:33,213
483,Полёт нормальный,Markul,01:59,119
484,Голова болит,SALUKI & вышел покурить,03:49,229
485,болезнь,cold carti,02:34,154
486,AYОЙ,Boulevard Depo,02:21,141
487,Я бью людей,ЯМАУГЛИ,02:10,130
488,Тупик,SALUKI & ROCKET,03:05,185
489,БЫЛО И БЫЛО,STED.D,03:00,180
490,OFF TOP,Boulevard Depo,01:59,119
491,Катафалк,Boulevard Depo,02:40,160
492,Королева,лампабикт,02:29,149
493,Объятия,лампабикт,03:28,208
494,Ирония,лампабикт,02:37,157
495,Пуля-дура,Хаски,03:34,214
496,Glue,Bicep,04:29,269
497,Eden,Sadistik,01:59,119
498,A Moment Apart,ODESZA,03:54,234
499,Закройте,лампабикт,03:22,202
500,Weak,AJR,03:21,201
501,There's Nothing Holdin' Me Back,Shawn Mendes,03:19,199
502,разодрать себе грудь,лампабикт,03:48,228
503,немерено,лампабикт & Элли на маковом поле,03:25,205
504,"Там, где мой дом",Гости Гаррисона,03:40,220
505,Время,семьсот семь,01:49,109
506,Больше не курю,KENTUKKI,02:46,166
507,Крылья,лампабикт,03:34,214
508,Saka Saka Saka,MC Mazzie & DJ NpcSize & DJ WIZARD,03:04,184
509,sweater holes,дипинс,02:06,126
510,Cut My Lip,twenty one pilots,04:43,283
511,Этажи,дипинс,02:35,155
512,METAMORPHOSIS,INTERWORLD,02:23,143
513,The Outside,twenty one pilots,03:37,217
514,Я верю (Спутник),OM. & Ваня Дмитриенко,03:28,208
515,Пока-пора,Bahroma,05:50,350
516,Биться ногами,Aflapoid & найтивыход,03:03,183
517,Veins,Onative,02:46,166
518,АЙОЙ RMX,Boulevard Depo,02:03,123
519,4x4,Boulevard Depo,02:12,132
520,ВОТОНЯ,Boulevard Depo & SEEMEE,02:17,137
521,Lane Boy,twenty one pilots,04:13,253
522,портреты,zhanulka,02:52,172
523,Hymn For The Weekend,Coldplay,04:18,258
524,ДА,Boulevard Depo,03:19,199
525,Ночь,veerneeer,03:12,192
526,Фонари,Nasty Babe,02:19,139
527,7Б Phonk Edition,NERONUS,04:45,285
528,Я в деле,SLAVA MARLOW,01:33,93
529,99 Problems,Big Baby Tape & kizaru,02:39,159
530,беспредел,вышел покурить & CLONNEX,01:51,111
531,Вы,Дайте танк (!),02:48,168
532,astral step,shadowraze,02:01,121
533,showdown,shadowraze,02:00,120
534,Без тебя я тону в этом море (prod. by devianprod),5УТРА,01:43,103
535,Камеры врут,10AGE,02:17,137
536,Маклауд,Макс Корж,02:58,178
537,Толер,10AGE,03:17,197
538,Огни,ANIKV & SALUKI,02:27,147
539,V Λ C U U M,WOODJU,02:53,173
540,Trava u Doma,GeoffPlaysGuitar & Земляне & Atomic Heart,03:54,234
541,Zvyozdnoe Leto,GeoffPlaysGuitar & Алла Пугачёва & Ритм & Atomic Heart,04:39,279
542,Кукушка,КИНО,06:39,399
543,Спокойная ночь,КИНО,06:23,383
544,Звезда по имени Солнце,КИНО,03:46,226
545,Перемен,КИНО,04:53,293
546,Группа крови,КИНО,03:55,235
547,Komarovo,DVRST & Игорь Скляр & Atomic Heart,02:26,146
548,when the party's over,Billie Eilish,03:20,200
549,если ты забыла как дышать (prod. by xmindmemories),cold carti,01:40,100
550,не хочу (prod. by xmindmemories),cold carti,02:23,143
551,Rolling in the Deep,Adele,03:48,228
552,Ай да Россия,HELVEGEN,03:30,210
553,Holding on to You,twenty one pilots,04:24,264
554,Cancer,twenty one pilots,03:57,237
555,Doubt,twenty one pilots,03:11,191
556,Anchor,Novo Amor,04:18,258
557,Fight Back With Love Tonight,Kush Kush,03:26,206
558,Parallel Parking,Arden Jones,01:59,119
559,Бит шатает голову,Хаски,03:51,231
560,Track 03,Хаски & масло черного тмина & Andy Panda,02:35,155
561,Молодость всё прощает,Макс Корж,03:03,183
562,Ugly Boy,Die Antwoord,03:34,214
563,Don't Panic,Coldplay,02:17,137
